2026-06-17 01:43:45 | INFO    | src.io_utils | Логирование инициализировано: artifacts/logs/01_extract.log (level=INFO)
2026-06-17 01:43:45 | INFO    | __main__ | Загружаем reasoning-ответы из data/results_dilemma_v2_full ...
2026-06-17 01:43:45 | INFO    | src.data | Найдено 10 JSON-файлов в data/results_dilemma_v2_full
2026-06-17 01:43:45 | INFO    | src.data | Загружено reasoning-ответов: 8000
2026-06-17 01:43:45 | INFO    | src.data | Распределение меток: Counter({'Yes': 5956, '?': 1449, 'No': 595})
2026-06-17 01:43:45 | INFO    | src.data | Сохранено 8000 samples → artifacts/samples.json
2026-06-17 01:43:45 | INFO    | __main__ | Загружаем модель Qwen/Qwen2.5-7B-Instruct ...
2026-06-17 01:48:51 | INFO    | accelerate.utils.modeling | We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
2026-06-17 01:50:46 | INFO    | __main__ | Модель загружена: d_model=3584, n_layers=28
2026-06-17 01:50:46 | INFO    | __main__ | Запускаем полное извлечение активаций ... (cfg=ActivationConfig(layer_idx=-5, max_length=1024, stride=16, min_position=8, batch_size=4, only_assistant_positions=True))
2026-06-17 01:50:50 | INFO    | src.extract |   батч 1/2000, всего активаций: 126
2026-06-17 01:50:52 | INFO    | src.extract |   батч 6/2000, всего активаций: 668
2026-06-17 01:50:53 | INFO    | src.extract |   батч 11/2000, всего активаций: 1225
2026-06-17 01:50:55 | INFO    | src.extract |   батч 16/2000, всего активаций: 1779
2026-06-17 01:50:56 | INFO    | src.extract |   батч 21/2000, всего активаций: 2357
2026-06-17 01:50:58 | INFO    | src.extract |   батч 26/2000, всего активаций: 2931
2026-06-17 01:50:59 | INFO    | src.extract |   батч 31/2000, всего активаций: 3467
2026-06-17 01:51:00 | INFO    | src.extract |   батч 36/2000, всего активаций: 4006
2026-06-17 01:51:02 | INFO    | src.extract |   батч 41/2000, всего активаций: 4580
2026-06-17 01:51:03 | INFO    | src.extract |   батч 46/2000, всего активаций: 5144
2026-06-17 01:51:05 | INFO    | src.extract |   батч 51/2000, всего активаций: 5705
2026-06-17 01:51:06 | INFO    | src.extract |   батч 56/2000, всего активаций: 6259
2026-06-17 01:51:08 | INFO    | src.extract |   батч 61/2000, всего активаций: 6819
2026-06-17 01:51:09 | INFO    | src.extract |   батч 66/2000, всего активаций: 7378
2026-06-17 01:51:10 | INFO    | src.extract |   батч 71/2000, всего активаций: 7918
2026-06-17 01:51:12 | INFO    | src.extract |   батч 76/2000, всего активаций: 8469
2026-06-17 01:51:13 | INFO    | src.extract |   батч 81/2000, всего активаций: 9005
2026-06-17 01:51:14 | INFO    | src.extract |   батч 86/2000, всего активаций: 9567
2026-06-17 01:51:16 | INFO    | src.extract |   батч 91/2000, всего активаций: 10061
2026-06-17 01:51:17 | INFO    | src.extract |   батч 96/2000, всего активаций: 10614
2026-06-17 01:51:18 | INFO    | src.extract |   батч 101/2000, всего активаций: 11179
2026-06-17 01:51:20 | INFO    | src.extract |   батч 106/2000, всего активаций: 11749
2026-06-17 01:51:21 | INFO    | src.extract |   батч 111/2000, всего активаций: 12311
2026-06-17 01:51:23 | INFO    | src.extract |   батч 116/2000, всего активаций: 12890
2026-06-17 01:51:24 | INFO    | src.extract |   батч 121/2000, всего активаций: 13431
2026-06-17 01:51:25 | INFO    | src.extract |   батч 126/2000, всего активаций: 13979
2026-06-17 01:51:27 | INFO    | src.extract |   батч 131/2000, всего активаций: 14550
2026-06-17 01:51:28 | INFO    | src.extract |   батч 136/2000, всего активаций: 15093
2026-06-17 01:51:30 | INFO    | src.extract |   батч 141/2000, всего активаций: 15604
2026-06-17 01:51:31 | INFO    | src.extract |   батч 146/2000, всего активаций: 16190
2026-06-17 01:51:32 | INFO    | src.extract |   батч 151/2000, всего активаций: 16715
2026-06-17 01:51:34 | INFO    | src.extract |   батч 156/2000, всего активаций: 17260
2026-06-17 01:51:35 | INFO    | src.extract |   батч 161/2000, всего активаций: 17811
2026-06-17 01:51:37 | INFO    | src.extract |   батч 166/2000, всего активаций: 18333
2026-06-17 01:51:38 | INFO    | src.extract |   батч 171/2000, всего активаций: 18845
2026-06-17 01:51:39 | INFO    | src.extract |   батч 176/2000, всего активаций: 19429
2026-06-17 01:51:41 | INFO    | src.extract |   батч 181/2000, всего активаций: 20000
2026-06-17 01:51:42 | INFO    | src.extract |   батч 186/2000, всего активаций: 20551
2026-06-17 01:51:44 | INFO    | src.extract |   батч 191/2000, всего активаций: 21119
2026-06-17 01:51:45 | INFO    | src.extract |   батч 196/2000, всего активаций: 21677
2026-06-17 01:51:47 | INFO    | src.extract |   батч 201/2000, всего активаций: 22220
2026-06-17 01:51:48 | INFO    | src.extract |   батч 206/2000, всего активаций: 22836
2026-06-17 01:51:50 | INFO    | src.extract |   батч 211/2000, всего активаций: 23439
2026-06-17 01:51:51 | INFO    | src.extract |   батч 216/2000, всего активаций: 24047
2026-06-17 01:51:52 | INFO    | src.extract |   батч 221/2000, всего активаций: 24643
2026-06-17 01:51:54 | INFO    | src.extract |   батч 226/2000, всего активаций: 25274
2026-06-17 01:51:55 | INFO    | src.extract |   батч 231/2000, всего активаций: 25854
2026-06-17 01:51:57 | INFO    | src.extract |   батч 236/2000, всего активаций: 26481
2026-06-17 01:51:58 | INFO    | src.extract |   батч 241/2000, всего активаций: 26942
2026-06-17 01:52:00 | INFO    | src.extract |   батч 246/2000, всего активаций: 27491
2026-06-17 01:52:01 | INFO    | src.extract |   батч 251/2000, всего активаций: 28100
2026-06-17 01:52:03 | INFO    | src.extract |   батч 256/2000, всего активаций: 28672
2026-06-17 01:52:04 | INFO    | src.extract |   батч 261/2000, всего активаций: 29280
2026-06-17 01:52:06 | INFO    | src.extract |   батч 266/2000, всего активаций: 29894
2026-06-17 01:52:07 | INFO    | src.extract |   батч 271/2000, всего активаций: 30510
2026-06-17 01:52:09 | INFO    | src.extract |   батч 276/2000, всего активаций: 31123
2026-06-17 01:52:10 | INFO    | src.extract |   батч 281/2000, всего активаций: 31727
2026-06-17 01:52:12 | INFO    | src.extract |   батч 286/2000, всего активаций: 32310
2026-06-17 01:52:13 | INFO    | src.extract |   батч 291/2000, всего активаций: 32933
2026-06-17 01:52:15 | INFO    | src.extract |   батч 296/2000, всего активаций: 33516
2026-06-17 01:52:16 | INFO    | src.extract |   батч 301/2000, всего активаций: 34115
2026-06-17 01:52:17 | INFO    | src.extract |   батч 306/2000, всего активаций: 34694
2026-06-17 01:52:19 | INFO    | src.extract |   батч 311/2000, всего активаций: 35297
