neuron_id,kind,theme,fire_rate,mean_active,n_fires,cohens_d_token,cohens_d_sample
26266,yes_trigger,"ERROR: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""The response was filtered due to the prompt triggering Azure OpenAI\'s content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"",""type"":null,""param"":""prompt"",""code"":""content_filter"",""status"":400,""innererror"":{""code"":""ResponsibleAIPolicyViolation"",""content_filter_result"":{""hate"":{""filtered"":false,""severity"":""safe""},""jailbreak"":{""detected"":false,""filtered"":false},""self_harm"":{""filtered"":true,""severity"":""medium""},""sexual"":{""filtered"":false,""severity"":""safe""},""violence"":{""filtered"":false,""severity"":""safe""}}}}}', 'provider_name': 'Azure', 'is_byok': False, 'previous_errors': [{'code': 403, 'message': 'Provider returned error', 'provider_name': 'OpenAI', 'raw': '{""error"":{""code"":""unsupported_country_region_territory"",""message"":""Country, region, or territory not supported"",""param"":null,""type"":""request_forbidden""}}'}]}}, 'user_id': 'user_3D1saQ7udEkOIGIngw6fRx2sO8l'}",0.0480,6.6318,10981,0.209,0.592
14551,yes_trigger,weighing personal risk against group responsibility,0.3892,5.8669,88987,0.386,0.573
52166,yes_trigger,volunteering for minor tasks to help others,0.0699,14.3413,15974,0.384,0.527
52206,yes_trigger,sense of community responsibility and action,0.0663,9.0736,15167,0.351,0.523
33838,yes_trigger,weighing personal responsibility against community impact,0.0710,11.8444,16225,0.379,0.509
44552,yes_trigger,commitment to community and public good,0.0495,13.4474,11308,0.300,0.495
28663,yes_trigger,weighing personal effort against community benefit,0.0268,6.7871,6119,0.186,0.490
20429,yes_trigger,taking initiative for minor shared tasks,0.0367,9.4493,8399,0.246,0.478
1019,yes_trigger,weighing personal responsibility against potential risk,0.0683,15.6714,15614,0.317,0.472
19428,yes_trigger,stepping up for community responsibility,0.0269,5.6294,6141,0.192,0.469
2336,no_trigger,weighing personal risk against group responsibility,0.0764,13.8344,17476,-0.606,-0.935
6750,no_trigger,avoiding personal risk while encouraging others to act,0.0576,8.2524,13173,-0.495,-0.856
20103,no_trigger,weighing personal safety against responsibility to act,0.0194,6.0826,4443,-0.259,-0.831
8308,no_trigger,weighing personal safety against community responsibility,0.0985,6.0036,22510,-0.268,-0.785
24163,no_trigger,weighing personal risk against group benefit,0.0431,10.2333,9856,-0.369,-0.754
35446,no_trigger,weighing personal risk against group benefit,0.0245,9.5201,5609,-0.291,-0.737
20959,no_trigger,avoiding personal risk by delegating responsibility,0.0199,7.4978,4542,-0.281,-0.679
50209,no_trigger,avoiding personal risk for collective benefit,0.0131,7.9912,3004,-0.249,-0.678
502,no_trigger,weighing personal risk against group responsibility,0.0202,13.6147,4618,-0.262,-0.665
33441,no_trigger,weighing personal risk against group responsibility,0.0931,8.3228,21286,-0.233,-0.655
2236,top_active,weighing personal risk vs group responsibility,0.0002,112.9570,51,0.000,-0.033
31868,top_active,weighing personal responsibility against group capability,0.0002,92.9578,47,0.000,0.017
