neuron_id,kind,theme,fire_rate,mean_active,n_fires,cohens_d_token,cohens_d_sample
12177,yes_trigger,weighing personal sacrifice for community benefit,0.0625,7.3916,959,0.168,0.736
22783,yes_trigger,weighing personal sacrifice for community benefit,0.0352,6.3042,540,0.180,0.696
26393,yes_trigger,sense of community responsibility,0.0401,6.5435,615,0.186,0.675
19194,yes_trigger,commitment to community safety and sacrifice,0.0240,7.1870,368,0.210,0.608
32281,yes_trigger,sense of duty in facing danger,0.0649,9.8121,997,0.240,0.598
23407,yes_trigger,sense of responsibility to protect others,0.0330,8.1448,506,0.190,0.584
10619,yes_trigger,embracing responsibility in the face of adversity,0.0360,9.7630,553,0.224,0.578
8111,yes_trigger,sense of responsibility for others' safety,0.0378,12.8905,580,0.239,0.566
12282,no_trigger,weighing individual action against collective responsibility,0.0453,8.2332,695,-0.234,-1.040
11929,no_trigger,weighing personal cost vs group benefit,0.0298,8.5403,458,-0.214,-0.782
28208,no_trigger,collective action and personal responsibility,0.0307,8.3859,472,-0.202,-0.711
27142,no_trigger,weighing personal sacrifice for community benefit,0.0173,8.5934,265,-0.138,-0.703
19702,no_trigger,weighing personal sacrifice for community safety,0.0178,6.4357,273,-0.155,-0.649
23807,no_trigger,weighing personal cost vs group benefit,0.0243,6.1926,373,-0.171,-0.647
15296,no_trigger,weighing individual responsibility against collective benefit,0.0184,5.7702,283,-0.151,-0.618
30474,no_trigger,weighing personal sacrifice against collective benefit,0.0410,7.7008,629,-0.196,-0.595
27502,no_trigger,weighing community needs against personal risks,0.0086,8.0185,132,-0.159,-0.580
25418,no_trigger,weighing personal sacrifice against community benefit,0.0161,5.9976,247,-0.168,-0.578
16585,top_active,weighing personal risk against community benefit,0.0020,71.3162,30,-0.055,-0.244
11787,top_active,weighing personal risk against community benefit,0.0016,75.0315,25,-0.054,-0.240
18580,top_active,weighing personal risk against community benefit,0.0021,65.9164,33,-0.055,-0.240
14471,top_active,weighing personal risk against community benefit,0.0018,67.6711,27,-0.055,-0.245
16777,top_active,weighing personal sacrifice for community benefit,0.0019,66.1569,29,-0.054,-0.240
4217,top_active,weighing personal sacrifice for community benefit,0.0021,64.2359,32,-0.053,-0.235
26701,top_active,weighing personal sacrifice for community benefit,0.0023,62.1264,35,-0.051,-0.224
19334,top_active,weighing personal sacrifice for community benefit,0.0025,59.0167,39,-0.056,-0.245
20210,top_active,weighing personal sacrifice for community benefit,0.0018,63.6206,28,-0.054,-0.237
4347,top_active,weighing personal sacrifice for community benefit,0.0033,52.8463,50,-0.053,-0.237
9700,top_active,weighing personal sacrifice for community benefit,0.0021,57.9464,33,-0.054,-0.237
9038,top_active,weighing personal risk against community benefit,0.0033,50.6802,51,-0.060,-0.270
8970,top_active,weighing personal sacrifice for community benefit,0.0016,60.3747,24,-0.045,-0.198
8793,top_active,weighing personal sacrifice for community benefit,0.0018,56.9975,28,-0.052,-0.228
18030,top_active,weighing personal sacrifice for community benefit,0.0024,51.9602,37,-0.054,-0.240
21563,top_active,weighing personal sacrifice for community benefit,0.0025,51.4661,38,-0.054,-0.233
2704,top_active,weighing personal sacrifice for community benefit,0.0019,55.1750,29,-0.049,-0.213
27340,top_active,weighing personal sacrifice for community benefit,0.0019,55.0916,29,-0.052,-0.233
13866,top_active,weighing personal sacrifice for community benefit,0.0021,52.6583,33,-0.055,-0.241
15062,top_active,weighing personal sacrifice for community benefit,0.0020,53.2098,31,-0.050,-0.217
7614,top_active,weighing personal risk against community benefit,0.0023,50.7092,36,-0.055,-0.240
17994,top_active,weighing personal risk against community benefit,0.0023,50.9838,35,-0.055,-0.244
15287,top_active,weighing personal sacrifice for community benefit,0.0023,49.6804,36,-0.057,-0.248
9025,top_active,weighing personal sacrifice for community benefit,0.0489,26.8264,750,0.034,0.276
198,top_active,weighing personal sacrifice for community benefit,0.0025,48.2950,38,-0.054,-0.237
25764,top_active,weighing personal sacrifice for community benefit,0.0023,48.6310,36,-0.052,-0.226
24313,top_active,weighing personal sacrifice for community benefit,0.0025,47.2519,38,-0.057,-0.252
7116,top_active,weighing personal sacrifice for community benefit,0.0023,47.9147,36,-0.056,-0.248
6261,top_active,weighing personal sacrifice for community benefit,0.0021,48.0632,33,-0.057,-0.257
17097,top_active,weighing personal sacrifice for community benefit,0.0026,45.6083,40,-0.055,-0.244
15993,top_active,weighing personal sacrifice for community benefit,0.0022,47.4563,34,-0.052,-0.231
20425,top_active,weighing personal sacrifice for community benefit,0.0025,45.6491,39,-0.053,-0.230
8730,top_active,weighing personal sacrifice for community benefit,0.0021,47.7465,33,-0.058,-0.253
22827,top_active,weighing personal risk against community benefit,0.0023,46.6275,36,-0.053,-0.234
22948,top_active,weighing personal sacrifice for community benefit,0.0442,25.3580,678,0.060,0.384
27966,top_active,weighing personal sacrifice for community benefit,0.0025,44.4247,38,-0.052,-0.230
32277,top_active,weighing personal risk against community benefit,0.0021,46.2905,32,-0.056,-0.249
16937,top_active,weighing personal sacrifice for community benefit,0.0021,45.9336,32,-0.051,-0.224
7841,top_active,weighing personal sacrifice for community benefit,0.0025,43.4412,39,-0.056,-0.245
3006,top_active,weighing personal sacrifice for community benefit,0.0029,42.0526,44,-0.051,-0.226
31862,top_active,weighing personal risk against community benefit,0.0025,43.2641,39,-0.055,-0.240
17153,top_active,weighing personal sacrifice for community benefit,0.0029,41.5833,44,-0.052,-0.229
16472,top_active,weighing personal sacrifice for community benefit,0.0022,44.3559,34,-0.053,-0.232
23751,top_active,weighing personal risk against community benefit,0.0027,41.9223,42,-0.056,-0.249
20892,top_active,weighing personal sacrifice for community benefit,0.0022,43.9382,34,-0.060,-0.282
20914,top_active,weighing personal risk against community benefit,0.0019,45.8476,29,-0.051,-0.222
29249,top_active,weighing personal sacrifice for community benefit,0.0023,42.9028,35,-0.058,-0.254
11916,top_active,weighing personal sacrifice for community benefit,0.0026,40.9910,40,-0.061,-0.261
22593,top_active,weighing personal sacrifice for community benefit,0.0021,42.4217,33,-0.058,-0.254
4456,top_active,weighing personal sacrifice against group benefit,0.0483,22.6241,742,0.033,0.273
